#Archive/File	Name	Time	Size	Type
Archive	GSE101516_RAW.tar	01/26/2018 08:46:34	730030080	TAR
File	GSM2705231_CEMATACControl_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:48	1968641	BED
File	GSM2705231_CEMATACcontrol_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:48	840714	BED
File	GSM2705232_CEMATACCPT2H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:48	1896817	BED
File	GSM2705232_CEMATACCPT2h_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT2.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:49	600865	BED
File	GSM2705233_CEMATACCPT4H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:50	2305346	BED
File	GSM2705233_CEMATACCPT4H_vs_geneCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT4.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:50	633584	BED
File	GSM2705234_CB45ATACcontrol_vs_genCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:50	2557624	BED
File	GSM2705234_CB45ATACcontrol_vs_genCB45_SICER_result_cluster_details_sample_1_CB45_KO.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:51	846776	BED
File	GSM2705235_CB45ATACHU2H_gCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:52	3885152	BED
File	GSM2705235_CB45ATCCPT2H_vs_geneCB45SICER_result_cluster_details_sample_1_CB45_KO_2.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:52	701730	BED
File	GSM2705236_CB45ATACHU4H_gCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:53	3975579	BED
File	GSM2705236_CB45ATCCPT4H_vs_geneCB45SICER_result_cluster_details_sample_1_CB45_KO_4.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:53	672134	BED
File	GSM2705263_CEMNSCcontrol_vs_genCEM_MACS2_result.bed.gz	07/17/2017 11:15:15	6432720	BED
File	GSM2705263_CEMNS_SICER24.bed.gz	07/17/2017 11:15:16	2618369	BED
File	GSM2705264_CEMCPTNS_SICER24.bed.gz	07/17/2017 11:15:16	2402273	BED
File	GSM2705264_CEMNSCPT_vs_genCEM_MACS2_result.bed.gz	07/17/2017 11:15:18	6754867	BED
File	GSM2705265_CEMCPTATRNS_SICER24.bed.gz	07/17/2017 11:15:19	2225721	BED
File	GSM2705265_CEMNSCPTATR_vs_genCEM_MACS2_result.bed.gz	07/17/2017 11:15:21	7108980	BED
File	GSM2705266_CB45NSCcontrol_vs_genCEM_MACS2_result.bed.gz	07/17/2017 11:15:22	6698165	BED
File	GSM2705266_CB45NS_SICER24.bed.gz	07/17/2017 11:15:23	2448034	BED
File	GSM2705267_CB45CPTNS_SICER24.bed.gz	07/17/2017 11:15:24	2082423	BED
File	GSM2705267_CB45NSCPT_vs_genCEM_MACS2_result.bed.gz	07/17/2017 11:15:25	6304840	BED
File	GSM2705268_CB45CPTATRNS_SICER24.bed.gz	07/17/2017 11:15:26	2026615	BED
File	GSM2705268_CB45NSCPTATR_vs_genCEM_MACS2_result.bed.gz	07/17/2017 11:15:28	6685637	BED
File	GSM2856212_K562Vec_0.sorted.bam.bed.gz	11/14/2017 10:53:39	68439599	BED
File	GSM2856213_K562Vec_1000.sorted.bam.bed.gz	11/14/2017 10:53:56	78043890	BED
File	GSM2856214_K562SLFN11_0.sorted.bam.bed.gz	11/14/2017 10:54:26	139977852	BED
File	GSM2856215_K562SLFN11_1000.sorted.bam.bed.gz	11/14/2017 10:54:43	77659216	BED
File	GSM2856216_K562E669Q_0.sorted.bam.bed.gz	11/14/2017 10:55:04	97141537	BED
File	GSM2856217_K562E669Q_1000.sorted.bam.bed.gz	11/14/2017 10:55:46	194053924	BED
